user_id	topic	gamma
2882277423	1	0.17537409278145563
602893393	1	0.007291114341094274
16284661	1	9.228956979270633e-5
42566089	1	8.238807957290494e-5
15192772	1	3.1271156941265165e-5
636023721	1	2.406633029822769e-5
1246421	1	3.0121779784377726e-5
32729442	1	0.06012063675871816
210668986	1	2.2922179477169422e-5
901622635	1	0.8602834335156998
17602262	1	9.965594678328133e-5
50996858	1	0.2600098430029039
366173107	1	0.005448999433577511
187122753	1	7.892668140540948e-5
892732157294030848	1	3.415740712430927e-5
215067401	1	8.545547588075573e-5
182747810	1	8.936133633846889e-5
68746721	1	8.915377111458544e-5
205195655	1	8.795204348356381e-5
143903442	1	4.150687324753058e-6
2895499182	1	1.7609205588482694e-5
80636218	1	0.966808674893706
1365971	1	7.012963827205117e-5
14700258	1	3.963479391190872e-5
919860212	1	7.045814175477565e-5
861861525883158528	1	7.761509098226592e-6
243683803	1	5.709303500814137e-6
539286281	1	1.4691577501576806e-5
221304470	1	5.459599025161384e-5
53614847	1	0.6544769556288963
22408636	1	9.545781114082548e-5
14286412	1	1.8942341982585543e-5
359207891	1	0.8420074284594997
541319730	1	0.4713463623984154
47922109	1	8.859706817009197e-5
321118660	1	9.783097932327259e-5
766285942449635332	1	9.639325827137362e-5
326798832	1	6.446315682570727e-5
222035562	1	0.8501162901029151
3562421	1	1.5325656117388285e-5
359962102	1	0.3418206789854587
1792511	1	4.4138400769639903e-5
3244504141	1	5.769880152359988e-6
91121157	1	4.357697436762218e-5
259568572	1	1.3420321559603157e-5
3027431134	1	1.5250292832001558e-5
3030236116	1	0.6316427067782107
1064429472890347520	1	6.217424510147117e-5
429146012	1	8.402775648352529e-5
1400517288	1	8.354379814594218e-5
3290364335	1	0.9801431142103241
33435210	1	5.638200557150367e-5
4926409928	1	8.455534817950634e-5
788363167	1	7.26934127696997e-5
3439990697	1	8.51445616128558e-5
2496988280	1	0.7740703710198005
777681590826651648	1	7.136700338614891e-5
442178445	1	0.9714427365969043
25248496	1	7.87059372184337e-5
918511183	1	1.5241767105431504e-5
176540776	1	3.75065032406977e-5
795252784727781376	1	6.401245559751612e-5
247815222	1	6.53538783591557e-5
291405463	1	0.09666736361335106
75947847	1	9.892716308284937e-5
2844389758	1	0.9258174160932922
28369058	1	6.569725187585923e-5
183218923	1	0.5003956175937592
1206550188	1	1.0469732521546127e-4
111312653	1	3.289247385574818e-5
498631199	1	7.57277484643855e-5
253388937	1	5.4456133383636345e-5
1042123228221792257	1	6.344961219752073e-5
801492317085368320	1	0.26847273085181667
194162292	1	0.029651449081898
16911769	1	9.467516715784094e-5
254247353	1	0.11333956973149367
1046598080	1	2.831338960798401e-5
892120710667264001	1	1.1565664833960955e-5
4608321074	1	7.020451106776888e-5
145081111	1	4.137521179438587e-5
782469380667944960	1	9.622653031604472e-5
711507096215404544	1	7.524620258215064e-5
20418727	1	0.03659841700235679
